Temperature,VpH
9.50,1.24
9.50,1.27
9.50,1.24
9.50,1.25
9.50,1.28
9.50,1.30
9.50,1.25
9.50,1.25
9.50,1.27
9.56,1.28
9.56,1.27
9.56,1.27
9.56,1.29
9.56,1.28
9.56,1.26
9.56,1.25
9.56,1.30
9.56,1.30
9.63,1.27
9.63,1.28
9.63,1.27
9.63,1.26
9.63,1.28
9.63,1.26
9.63,1.26
9.63,1.26
9.63,1.25
9.63,1.27
9.63,1.26
9.69,1.27
9.69,1.28
9.69,1.31
9.69,1.31
9.69,1.26
9.69,1.29
9.69,1.30
9.69,1.23
9.69,1.27
9.75,1.30
9.75,1.28
9.75,1.26
9.75,1.28
9.75,1.27
9.75,1.31
9.75,1.31
9.75,1.29
9.75,1.27
9.75,1.30
9.81,1.30
9.81,1.27
9.81,1.31
9.81,1.32
9.81,1.31
9.81,1.29
9.81,1.26
9.81,1.31
9.81,1.31
9.88,1.31
9.88,1.27
9.88,1.33
9.88,1.30
9.88,1.31
9.88,1.30
9.88,1.31
9.88,1.29
9.88,1.31
9.88,1.30
9.94,1.29
9.94,1.30
9.94,1.28
9.94,1.29
9.94,1.33
9.94,1.28
9.94,1.32
9.94,1.29
9.94,1.35
9.94,1.31
9.94,1.34
10.00,1.32
10.00,1.30
10.00,1.30
10.00,1.33
10.00,1.29
10.00,1.32
10.00,1.33
10.00,1.33
10.06,1.29
10.06,1.28
10.06,1.33
10.06,1.30
10.06,1.30
10.06,1.33
10.06,1.32
10.06,1.33
10.06,1.32
10.06,1.30
10.06,1.28
10.13,1.28
10.13,1.29
10.13,1.28
10.13,1.31
10.13,1.33
10.13,1.31
10.13,1.32
10.13,1.32
10.13,1.32
10.13,1.33
10.19,1.33
10.19,1.31
10.19,1.30
10.19,1.34
10.19,1.33
10.19,1.33
10.19,1.31
10.19,1.33
10.19,1.34
10.19,1.30
10.25,1.32
10.25,1.30
10.25,1.33
10.25,1.30
10.25,1.33
10.25,1.32
10.25,1.33
10.25,1.33
10.25,1.35
10.25,1.33
10.31,1.35
10.31,1.34
10.31,1.30
10.31,1.32
10.31,1.31
10.31,1.30
10.31,1.29
10.31,1.31
10.31,1.30
10.31,1.30
10.31,1.34
10.38,1.33
10.38,1.35
10.38,1.34
10.38,1.33
10.38,1.32
10.38,1.36
10.38,1.32
10.38,1.35
10.38,1.35
10.44,1.34
10.44,1.34
10.44,1.34
10.44,1.35
10.44,1.30
10.44,1.35
10.44,1.34
10.44,1.33
10.50,1.33
10.50,1.37
10.50,1.33
10.50,1.35
10.50,1.36
10.50,1.32
10.50,1.34
10.50,1.41
10.50,1.39
10.50,1.37
10.50,1.34
10.50,1.41
10.50,1.34
10.56,1.37
10.56,1.38
10.56,1.38
10.56,1.34
10.56,1.37
10.56,1.35
10.56,1.37
10.56,1.36
10.56,1.36
10.56,1.38
10.63,1.37
10.56,1.36
10.63,1.38
10.63,1.34
10.63,1.35
10.63,1.39
10.63,1.36
10.63,1.36
10.63,1.37
10.69,1.37
10.69,1.33
10.69,1.36
10.69,1.39
10.69,1.37
10.69,1.35
10.69,1.38
10.69,1.39
10.69,1.36
10.69,1.38
10.75,1.36
10.75,1.38
10.75,1.37
10.75,1.38
10.75,1.37
10.75,1.39
10.75,1.36
10.75,1.40
10.75,1.38
10.75,1.39
10.81,1.41
10.75,1.41
10.81,1.35
10.81,1.39
10.81,1.38
10.81,1.37
10.81,1.35
10.81,1.38
10.81,1.36
10.81,1.38
10.81,1.38
10.88,1.36
10.88,1.34
10.88,1.39
10.88,1.39
10.88,1.38
10.88,1.40
10.88,1.40
10.88,1.37
10.88,1.40
10.88,1.41
10.88,1.41
10.88,1.40
10.94,1.35
10.94,1.42
10.94,1.42
10.94,1.37
10.94,1.37
10.94,1.37
10.94,1.39
10.94,1.42
10.94,1.39
10.94,1.38
10.94,1.39
11.00,1.42
11.00,1.40
11.00,1.38
11.00,1.39
11.00,1.39
11.00,1.36
11.00,1.38
11.00,1.39
11.00,1.37
11.00,1.38
11.00,1.37
11.06,1.42
11.06,1.40
11.06,1.39
11.06,1.39
11.06,1.40
11.06,1.39
11.06,1.38
11.06,1.43
11.06,1.40
11.06,1.39
11.13,1.40
11.06,1.38
11.06,1.41
11.13,1.39
11.13,1.40
11.13,1.41
11.13,1.42
11.13,1.42
11.13,1.41
11.13,1.40
11.13,1.38
11.13,1.42
11.19,1.41
11.19,1.39
11.19,1.38
11.19,1.41
11.19,1.40
11.19,1.40
11.19,1.42
11.19,1.38
11.19,1.42
11.19,1.43
11.19,1.41
11.25,1.41
11.25,1.42
11.25,1.41
11.25,1.42
11.25,1.41
11.25,1.42
11.25,1.44
11.25,1.41
11.25,1.43
11.25,1.39
11.31,1.46
11.31,1.44
11.31,1.41
11.31,1.44
11.31,1.43
11.31,1.43
11.31,1.45
11.31,1.43
11.31,1.42
11.31,1.45
11.31,1.44
11.38,1.41
11.31,1.42
11.38,1.42
11.38,1.43
11.38,1.44
11.38,1.42
11.38,1.38
11.38,1.44
11.38,1.43
11.38,1.47
11.38,1.42
11.38,1.43
11.44,1.45
11.44,1.43
11.44,1.45
11.44,1.41
11.44,1.45
11.44,1.41
11.44,1.45
11.44,1.45
11.44,1.44
11.44,1.42
11.44,1.42
11.50,1.46
11.50,1.43
11.50,1.44
11.50,1.42
11.50,1.46
11.50,1.41
11.50,1.42
11.50,1.43
11.50,1.43
11.50,1.43
11.50,1.47
11.50,1.46
11.56,1.44
11.56,1.42
11.56,1.44
11.56,1.42
11.56,1.42
11.56,1.46
11.56,1.44
11.56,1.45
11.56,1.48
11.56,1.43
11.63,1.44
11.63,1.47
11.63,1.46
11.63,1.45
11.63,1.45
11.63,1.44
11.63,1.48
11.63,1.45
11.63,1.45
11.63,1.43
11.63,1.46
11.63,1.47
11.63,1.45
11.69,1.42
11.63,1.44
11.69,1.46
11.69,1.46
11.69,1.47
11.69,1.46
11.69,1.44
11.69,1.44
11.69,1.46
11.75,1.48
11.69,1.46
11.75,1.47
11.75,1.44
11.75,1.43
11.75,1.44
11.75,1.46
11.75,1.45
11.75,1.45
11.75,1.45
11.75,1.43
11.75,1.44
11.75,1.46
11.75,1.45
11.81,1.46
11.81,1.44
11.81,1.47
11.81,1.46
11.81,1.45
11.81,1.42
11.81,1.48
11.81,1.43
11.81,1.46
11.81,1.46
11.88,1.47
11.81,1.47
11.88,1.43
11.88,1.45
11.88,1.45
11.88,1.45
11.88,1.42
11.88,1.45
11.88,1.48
11.88,1.46
11.88,1.44
11.88,1.46
11.94,1.44
11.94,1.46
11.94,1.48
11.94,1.48
11.94,1.45
11.94,1.44
11.94,1.47
11.94,1.52
11.94,1.47
11.94,1.47
11.94,1.49
12.00,1.47
12.00,1.46
12.00,1.45
12.00,1.46
12.00,1.46
12.00,1.47
12.00,1.47
12.00,1.45
12.00,1.46
12.00,1.45
12.00,1.45
12.00,1.45
12.06,1.47
12.06,1.45
12.06,1.52
12.06,1.51
12.06,1.46
12.06,1.47
12.06,1.48
12.06,1.47
12.06,1.46
12.06,1.48
12.06,1.48
12.06,1.48
12.13,1.48
12.06,1.47
12.13,1.50
12.13,1.46
12.13,1.46
12.13,1.52
12.13,1.43
12.13,1.47
12.13,1.48
12.13,1.49
12.13,1.51
12.19,1.46
12.19,1.49
12.19,1.47
12.19,1.47
12.19,1.48
12.19,1.50
12.19,1.47
12.19,1.49
12.19,1.50
12.19,1.48
12.19,1.49
12.19,1.49
12.25,1.50
12.25,1.46
12.25,1.46
12.25,1.47
12.25,1.48
12.25,1.47
12.25,1.50
12.25,1.49
12.25,1.48
12.25,1.47
12.25,1.44
12.31,1.51
12.31,1.48
12.31,1.47
12.31,1.52
12.31,1.49
12.31,1.47
12.31,1.53
12.31,1.48
12.31,1.49
12.31,1.50
12.31,1.46
12.31,1.50
12.31,1.48
12.38,1.52
12.38,1.51
12.38,1.46
12.38,1.50
12.38,1.51
12.38,1.47
12.38,1.47
12.38,1.51
12.38,1.53
12.38,1.45
12.38,1.49
12.44,1.50
12.44,1.50
12.44,1.55
12.44,1.49
12.44,1.49
12.44,1.52
12.44,1.50
12.44,1.47
12.44,1.46
12.44,1.50
12.44,1.49
12.44,1.51
12.44,1.46
12.44,1.49
12.44,1.47
12.50,1.48
12.50,1.47
12.50,1.53
12.50,1.49
12.50,1.51
12.50,1.51
12.50,1.53
12.50,1.49
12.50,1.48
12.50,1.49
12.56,1.50
12.56,1.53
12.56,1.45
12.56,1.48
12.56,1.52
12.56,1.54
12.56,1.50
12.56,1.55
12.56,1.49
12.56,1.51
12.63,1.51
12.56,1.51
12.63,1.52
12.63,1.55
12.63,1.50
12.63,1.53
12.63,1.53
12.63,1.53
12.63,1.52
12.63,1.52
12.63,1.50
12.63,1.52
12.63,1.51
12.69,1.53
12.69,1.52
12.69,1.53
12.69,1.53
12.69,1.52
12.69,1.50
12.69,1.51
12.69,1.51
12.69,1.53
12.69,1.52
12.69,1.51
12.69,1.54
12.75,1.54
12.75,1.50
12.75,1.55
12.75,1.49
12.75,1.52
12.75,1.49
12.75,1.54
12.75,1.50
12.75,1.49
12.75,1.53
12.75,1.49
12.81,1.52
12.81,1.53
12.81,1.52
12.81,1.53
12.81,1.52
12.81,1.52
12.81,1.52
12.81,1.50
12.81,1.54
12.81,1.53
12.81,1.50
12.81,1.55
12.81,1.53
12.88,1.51
12.88,1.53
